,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,sentiment
0,0,,Worth the money,"Value for money but with some compromisePros : Price, Sharpness.Cons: Screen bleeding.",0,worth valu compromisepro price sharpnesscon screen bleed,positive
1,1,,Terrific purchase,Very Good TV In This Price I Bought It For 38k In Big Billion Sale On Bajaj Finserv Very Good Sound And Picture Quality For 65 Inch Go For It Amazing Also Made In India !!!,0,terrif purchas good tv price bought k big billion sale bajaj finserv good sound pictur qualiti inch go amaz also made india,positive
2,2,,Awesome,Awesome 😎,0,awesom awesom,positive
3,3,,Does the job,First of all i get my delivery but the product was broken but they will replace it and i got a new one that was nice and the clarity was great,0,job first get deliveri product broken replac got new nice clariti great,positive
4,4,,"Average picture, good sound but does not meet expectation","Ordered the TV on 09th Feb and the TV got delivered on 10th feb and the installation was done by the service person on 10th Feb itself.I can quote excellent as far as speed of delivery and installation is concerned.Coming to picture quality.....Very very average picture quality. It was inferior to my previous non-4K Kodak TV. Secondly there is no option to stretch video to fit the screen, which was available in my previous TV. I will rate 2 out of 5 as far as picture quality is concerned...",0,averag pictur good sound meet expect order tv th feb tv got deliv th feb instal servic person th feb itselfi quot excel far speed deliveri instal concernedcom pictur qualityveri averag pictur qualiti inferior previous nonk kodak tv second option stretch video fit screen avail previous tv rate far pictur qualiti concern,positive
5,5,,Mind-blowing purchase,Tv looking good. Clear picture and sound. But wall mount screws not avilable for this new model. So installation Technician  set on the table only.,0,mindblow purchas tv look good clear pictur sound wall mount screw avil new model instal technician set tabl,positive
6,6,,Fabulous!,"Very excellent product. Lowest possible pricing for a 55inch QLED TV available online or shops.Best value proposition and having all the features as per latest technology.Excellent picture and sound quality with Dolby Vision and Atmos technology.Next day delivery and installation. Thanks to Flipkart for this wonderful piece.If you are looking for a premium TV at the very best price, then go for it without a secondary thought",0,fabul excel product lowest possibl price inch qled tv avail onlin shopsbest valu proposit featur per latest technologyexcel pictur sound qualiti dolbi vision atmo technologynext day deliveri instal thank flipkart wonder pieceif look premium tv best price go without secondari thought,positive
7,7,,Nice product,Excellent tv value of money,0,nice product excel tv valu,positive
8,8,,Worth every penny,Excellent,0,worth everi penni excel,positive
9,9,,Worth every penny,65inch super,0,worth everi penni inch super,positive
10,10,,Brilliant,Wonderful Quality Amazing Picture,0,brilliant wonder qualiti amaz pictur,positive
11,11,,Good choice,Value for money .i brought this 65 Inches tv in big billion days iam satisfied TV is good,0,good choic valu brought inch tv big billion day iam satisfi tv good,positive
12,12,,Brilliant,"Too good.Nice quality,nice Dolby audio. Satisfied with the amount given.",0,brilliant goodnic qualitynic dolbi audio satisfi amount given,positive
13,13,,Very Good,Very nice product and good picture quality👍👍,0,good nice product good pictur qualiti,positive
14,14,,Wonderful,Best,0,wonder best,positive
15,15,,Pretty good,Super quality with sound....,0,pretti good super qualiti sound,positive
16,16,,Nice product,Good tv baht 2 star reting,0,nice product good tv baht star rete,positive
17,17,,Simply awesome,Good Product,0,simpli awesom good product,positive
