,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,Sentiment
0,0,,Excellent,Good👍,0,excel good,positive
1,1,,Wonderful,Very good HD picture quality  of this TV and timely delivery and installation is very systematic process. Thanks for Flipkart & Samsung team related this item.,0,wonder good hd pictur qualiti tv time deliveri instal systemat process thank flipkart samsung team relat item,positive
2,2,,Great product,Nice TV in this price,0,great product nice tv price,positive
3,3,,Highly recommended,Absolutely value for money.,0,high recommend absolut valu,negative
4,4,,Terrific purchase,Good quality at this price. Picture quality is very good. Sound quality is also very good.,0,terrif purchas good qualiti price pictur qualiti good sound qualiti also good,positive
5,5,,Best in the market!,"I m using this tv for the past 10 days..I found that the following Image quality is good,Sound quality is good,Connectivity is good, Overall the product is good to use...Samsung is better than Mi, Redmi and Vu TVs Go for it....",0,best market use tv past daysi found follow imag qualiti goodsound qualiti goodconnect good overal product good usesamsung better mi redmi vu tvs go,positive
6,6,,Excellent,Nice product,0,excel nice product,positive
7,7,,Super!,Good product from samsung,0,super good product samsung,positive
8,8,,Value-for-money,"Value for money.. Pros: Picture quality and different picture modes.Sound quality is beyond expectations.Have all the necessary apps and you can also download them.Smooth interface, not too much lag.Cons:Casting: sometimes picture/video doesn't show while casting.Thick besels in 2020.Overall I would say it's a fantastic product from Samsung. Happy that I didn't buy the cheap Chinese alternatives. Go for it if 32 inch hd ready smart tv is your choice. Loved the product...",0,valueformi valu pros pictur qualiti differ pictur modessound qualiti beyond expectationshav necessari app also download themsmooth interfac much lagconscast sometim picturevideo doesnt show castingthick besel overal would say fantast product samsung happi didnt buy cheap chines altern go inch hd readi smart tv choic love product,positive
9,9,,Perfect product!,Excellent Quality! Excellent Services!,0,perfect product excel qualiti excel servic,positive
10,10,,Worth every penny,Satisfied. You can totally go for it.,0,worth everi penni satisfi total go,positive
11,11,,Terrific purchase,Most valuable and Worth Tv 1.video - superb2.sound - Amplifier sound superb,0,terrif purchas valuabl worth tv video superbsound amplifi sound superb,positive
12,12,,Brilliant,Good Products,0,brilliant good product,positive
13,13,,Best in the market!,Nice picture quality sound quality nice screen cast good 👍😊 must buy,0,best market nice pictur qualiti sound qualiti nice screen cast good must buy,positive
14,14,,Wonderful,"Nice tv within the budget. Sound quality is good, for picture quality I had to attach hdmi cable from set top box to tv. After that quality is pretty good.This tv did not come with a stand so I had only one option with the wall mount which I didn't like. Apart from that overall experience is good.",0,wonder nice tv within budget sound qualiti good pictur qualiti attach hdmi cabl set top box tv qualiti pretti goodthi tv come stand option wall mount didnt like apart overal experi good,positive
15,15,,Perfect product!,Awesome 👍,0,perfect product awesom,positive
16,16,,Terrific purchase,Good picture and sound quality. Good connectivity.,0,terrif purchas good pictur sound qualiti good connect,positive
