,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,Sentiment
0,0,,Terrific,Nice phone with great camera. My 1st iPhone and I m loving it,0,terrif nice ph great camera st iph love,positive
1,1,,Terrific purchase,Camera is really good and battery performance also too good. Now apple has inbuilt photo edit options which is really nice to make your photos much better one.,0,terrif purchas camera realli good batteri perform also good appl inbuilt photo edit option realli nice make photo much better,positive
2,2,,Brilliant,"SUPERBGo for it guys without hesitation, great in hand feel ,, superb camera , awesome battery backup , Starlight Colour looks premium, 6.7 inch crisp display, Camera 5/5 performance 5/5 Very happy to have apple 14 plus,Thanks flipcart for genuine product delivered on time",0,brilliant superbgo guy without hesit great hand feel superb camera awesom batteri backup starlight colour look premium inch crisp display camera perform happi appl plusthank flipcart genuin product deliv time,positive
3,3,,Brilliant,I love the pictures and the night mode was awesome.... Mind-blowing product..,0,brilliant love pictur night mode awesom mindblow product,positive
4,4,,Brilliant,Super phone . camera is super😍,0,brilliant super ph camera super,positive
5,5,,Fabulous!,Great PerformanceCamera better than iPhone 13Battery backup also goodIphone 14 plus is just awesome.,0,fabul great performancecamera better iph batteri backup also goodiph plus awesom,positive
6,6,,Perfect product!,"Its good phone, value for the money.",0,perfect product good ph valu,positive
7,7,,Terrific,camera quality is superb. Battery is also decent. Overall experience is good.,0,terrif camera qualiti superb batteri also decent overal experi good,positive
8,8,,Highly recommended,Good quality and sarvice amezing phone,0,high recommend good qualiti sarvic amez ph,positive
9,9,,Simply awesome,Just wow I cannot express my feelings ❤️😍,0,simpli awesom wow express feel,positive
10,10,,Best in the market!,Switched from andro to i phone... 😅.  Phone color is not that too much dark purple but looks good. In love with big screen.😍😍😍😍 .  I bought a feeling not a phone.,0,best market switch andro ph ph color much dark purpl look good love big screen bought feel ph,positive
11,11,,Awesome,Amazing ☺️ thank you flipkart,0,awesom amaz thank flipkart,positive
12,12,,Brilliant,I like it very much 🤩🤩🤩🤩🤩,0,brilliant like much,positive
13,13,,Wonderful,Awesome camera quality,0,wonder awesom camera qualiti,negative
14,14,,Best in the market!,The picture quality is good I purchased this i14+ for camera uses,0,best market pictur qualiti good purchas camera use,positive
15,15,,Classy product,Best quality and battery backup is too good,0,classi product best qualiti batteri backup good,positive
16,16,,Terrific purchase,Noice😍 overall but Lil bit Miss 120hz although received in good condition,0,terrif purchas noic overal lil bit miss hz although receiv good condit,negative
17,17,,Wonderful,I think the iPhone 14 Plus is the king of Battery Life.  iPhone 14 Plus Camera is also very good. All rounder iPhone in every department..,0,wonder think iph plus king batteri life iph plus camera also good rounder iph everi depart,positive
18,18,,Classy product,Excellent iPhone 14 plus❤️👌,0,classi product excel iph plus,negative
19,19,,Terrific purchase,This is a power packed product considering the price. It comes with 33% more battery and 0.7 inches larger display than the base model. Camera is superb in terms of video recording(cinematic mode and normal mode of 4K format). It feels like iphone 14 pro max in hands from the front. A revolutionary product.,0,terrif purchas power pack product consid price come batteri inch larger display base model camera superb term video recordingcinemat mode normal mode k format feel like iph pro max hand front revolutionari product,positive
20,20,,Excellent,Phone is beautiful,0,excel ph beauti,negative
21,21,,Pretty good,Super,0,pretti good super,positive
22,22,,Excellent,"Superb.... must purchase ! first time switched from android but not feel such an issue working fine as all options avilable here ,Camera is best and Battary is huge.",0,excel superb must purchas first time switch android feel issu work fine option avil camera best battari huge,positive
23,23,,Simply awesome,Value for money,0,simpli awesom valu,positive
24,24,,Fabulous!,Amazing Product.,0,fabul amaz product,negative
25,25,,Highly recommended,"Great Phone at this price range, 60hz refresh rate feels smooth, great camera,big screen, good battery backup and superb for gaming. What else can anyone ask for. Highly Recommended 😍.",0,high recommend great ph price rang hz refresh rate feel smooth great camerabig screen good batteri backup superb game els ask high recommend,positive
26,26,,Perfect product!,The mobile is lighter than the iphone 13. The big screen looks good and display is crunch. I charged the mobile 100% and still 30% of battery life is left after moderate use of 1 n half day.I ordered blue colour and its look very subtle and cool. Just loved it.,0,perfect product mobil lighter iph big screen look good display crunch charg mobil still batteri life left moder use n half dayi order blue colour look subtl cool love,positive
27,27,,Terrific purchase,Superb,0,terrif purchas superb,positive
28,28,,Just wow!,Ossm product delivery and costomer survice is good❤️thank you Flipkart before I thought thet the product I 'll get  original or not and return policy is also changed on Flipkart but now I get original product and don't face any issues with delivery related so I recommend to all of you guys...,0,wow ossm product deliveri costom survic goodthank flipkart thought thet product get origin return polici also chang flipkart get origin product dont face issu deliveri relat recommend guy,positive
29,29,,Good choice,Camara 😍Amazing phone Never disappointed youLove iphone 14 plus (blue colour 128gb)With the blue colour the device was lit 😍,0,good choic camara amaz ph never disappoint youlov iph plus blue colour gbwith blue colour devic lit,positive
30,30,,Fabulous!,"I've been using the iPhone for seven months now, and I want to share my thoughts, especially if you're thinking about switching from Android to iOS.First off, I really like this phone. It performs better than any Android phone I've had. But there's a learning curve, especially if you're used to Android, because there's no dedicated back button.In my opinion, this iPhone is best for people who use their phone for work and don't play a lot of games. It has some nice features, but it doesn't...",0,fabul ive use iph seven month want share thought especi your think switch android iosfirst realli like ph perform better android ph ive there learn curv especi your use android there dedic back buttonin opinion iph best peopl use ph work dont play lot game nice featur doesnt,positive
31,31,,Best in the market!,Best mobile ..Battery performance also good,0,best market best mobil batteri perform also good,positive
32,32,,Fabulous!,Very good product,0,fabul good product,positive
33,33,,Classy product,Writing this review after using for 2 days.Camera 5/5 - Slightly better than iPhone 13Display 5/5 - Huge n smooth display🤩 Looks like iPhone 13 pro max from frontBattery 4/5Performance 5/5Overall loved the phone. It's totally worth it🤍,0,classi product write review use dayscamera slight better iph display huge n smooth display look like iph pro max frontbatteri perform overal love ph total worth,positive
34,34,,Awesome,Very good,0,awesom good,positive
35,35,,Terrific,Design is awesome.,0,terrif design awesom,negative
36,36,,Just wow!,"JUST WOW , BATTERY 🔋 ISS BEST",0,wow wow batteri iss best,positive
37,37,,Awesome,Great,0,awesom great,positive
38,38,,Terrific purchase,Simply awesome product. Sound quality is very good .,0,terrif purchas simpli awesom product sound qualiti good,positive
39,39,,Mind-blowing purchase,"Simply awesome!Iphone 13 was already good enough, but 14 offers even more improvement in every way. biggest noticeable thing is the display, it's crisp and smooth and colours are vivid.And think everyone knows about quality of photos from iPhones!, Iphone 14 offerd best ever camera photo quality yet on iphones.very happy with the purchase!",0,mindblow purchas simpli awesomeiph alreadi good enough offer even improv everi way biggest notic thing display crisp smooth colour vividand think everi know qualiti photo iph iph offerd best ever camera photo qualiti yet iphsveri happi purchas,positive
40,40,,Must buy!,Best ever I phone in it's battery performance and big display.,0,must buy best ever ph batteri perform big display,positive
41,41,,Must buy!,"Thank you Flipkart, for excellent service. I received it sooner than i Expected. Open box policy before accepting the product is excellent. I received a genuine Apple product.",0,must buy thank flipkart excel servic receiv sor expect open box polici accept product excel receiv genuin appl product,positive
42,42,,Worth every penny,Everything perfect with this smartphone,0,worth everi penni everyth perfect smartph,positive
43,43,,Wonderful,Camera quality is awesome .Good and worthy phone.Display is 6.7 inch and battery backup is very good easily comes for 2 days without charging.60 hz refresh rate it doesn't affect much   .,0,wonder camera qualiti awesom good worthi phdisplay inch batteri backup good easili come day without charg hz refresh rate doesnt affect much,positive
44,44,,Worth the money,Superb! Loved it😍,0,worth superb love,positive
45,45,,Fabulous!,"Good product with good battery backup, overall good quality",0,fabul good product good batteri backup overal good qualiti,positive
46,46,,Great product,Wow 😍..... Its amazing 👌👍,0,great product wow amaz,positive
47,47,,Best in the market!,Awesome phone battery back up is very excellent.,0,best market awesom ph batteri back excel,positive
48,48,,Great product,Camera is awesome performance is superb Battery is fabulous Look is being Overall itself hot love it,0,great product camera awesom perform superb batteri fabul look overal hot love,positive
49,49,,Fabulous!,My first iPhone i am so excited and display is awesome. everything is too good thanks Flipkcart,0,fabul first iph excit display awesom everyth good thank flipkcart,positive
50,50,,Great product,"Excellent look, Superb Camera, Amazing battery backup",0,great product excel look superb camera amaz batteri backup,positive
51,51,,Wonderful,Camera is better than android but not as dslr.you can buy this product for better image quality and for look cool.overall good product,0,wonder camera better android dslryou buy product better imag qualiti look cooloveral good product,positive
52,52,,Best in the market!,Best phone,0,best market best ph,positive
