,Rating,Review Title,Review Body
0,4,Delightful,Happy Happy 😊
1,4,Delightful,Best AC provide by Godrej Indian brand in this price.Instant Cooling 👌🏻5 in 1 convertible features are very good👌🏻I am using since 5 days very good performance it giving.I am happy with Flipkart
2,5,Best in the market!,Super coolingWill update further after one week use
3,5,Wonderful,Supper product
4,4,Delightful,"Technician was very good and polite person, actually performance will be evaluate during the summer season."
5,5,Simply awesome,Review after 2 days of use- Delivery was perfect- Installation was disappointing due to unprofessional behaviour of technician- Look & appearance is nice- Overall Cooling is ok- Running sound is very high and a matter of disturbance to guests as the same is installed in my drawing room (compared to other AC installed in my flat Bluestar/voltas)- lowest temp at AC air delivery point noted as 12degree after 2.15hrs of continuous run at 20 degree setting temp.
6,5,Worth every penny,"Edit:18May : identified sound will be low when autofan mode is selected and set temp is attained. Sometimes ac works like it is dry mode when actually is in cool mode. As of now got adapted and is okay with the ac. Happy now with the purchase.Edit:29 April : After few days of use , the sound issue has popped up. Now I understand on the reviews but wondering why it was not there till yesterday. The sound is now annoying. 25April: Happy with the product. Expected little noise based on feed..."
7,5,Brilliant,Great fitting
8,5,Wonderful,"It cools the room at stipulated time, acceptable noise, btw this is our first AC for our family"
9,5,Super!,I was afraid of this product before ordering because of the bad reviews but after receiving and using it I'm really happy..I have ordered a 1.5 ton 5 star unit..Plz note i have not taken installation from filpkart...after receiving AC i called Godrej customer care and booked the installation + demo request and next day installation done..Plz go for it without hesitation.
10,4,Good choice,Nice product 😊
11,4,Worth the money,"Pros:I'm happy to write a positive review for the Godrej air conditioner. This air conditioner is truly a remarkable product that offers exceptional features and performance. From its sleek and modern design to its energy-efficient operation, the Godrej air conditioner is a great choice for anyone looking to cool their home or office.One of the standout features of the Godrej air conditioner is its powerful cooling capabilities. It is equipped with advanced technology that ensures quick a..."
12,3,Good,"Giving review after 1 month of usage. Positive: 1. Value for money.2. Cooling is good.3. Energy efficient.Negative: 1. Fan is noisy.2. You cannot change fan speed in variable modes, the fan runs at the highest speed which is irritating.  You can see in the remote the speed is changing but actually the fan will run at the highest speed."
13,5,Worth every penny,Good product
14,5,Must buy!,Super 👌
15,3,Terrible product,Getting fan Noise. Cools in heavy heart but worst installation. It's the same as the ceiling fan sound.
16,5,Just wow!,"A very good product..must go for it.. inshanly sleek design, perfect cooling, good support from gedrej service centre.."
17,5,Classy product,It has been about a month now and this ac is doing a good job. I mostly run it at 27 degrees or above and don't find any issues with cooling or even no annoying noise from the outdoor unit as mentioned in some reviews. It runs around 15 hours per day.Will get to know the electricity consumption only once the bill is generated.
18,5,Terrific purchase,"Godrej ac is highly reliable. I couldn't check the current consumption as all gadgets in my house are connected to one power meter.Because it's a convert 5in1 split ac, noise is high in C5 with maximum fan speed in indoor. However if we keep the fan in lowest speed and @ C1, it's very silent with excellent cooling for ground floor room.Only drawback I could note is that the indoor doesn't show the room temprature. It shows only the set temprature. Godrej should incorporate this in future mo..."
19,3,Nice,After few days it smell very bad for few hours Than automatically get repair Cooling is good Energy efficient Daily uses 15 hours /10 unit per day
20,4,Really Nice,Delivered at the same time they give and installation is NXT to the delivery date and it's fantastic to buy this product.
21,5,Best in the market!,Very nice cooling iam soo happy thankyou flipcart
22,5,Terrific,Super cooling  good service and instalation
23,3,Fair,Cooling is not as expected then the blue star and fan sou
24,4,Very Good,"I am giving this review after using last 7 months.Pros  : If you use 10/12 hours then 3/4 units of it will come.  Even after turning off AC, the room remains cold till 30/40 minutes.Cons: Cooling speed is very slow.The water is falling very slowly from the indoor unit, I don't know why this is happening.I give 4 star because only electricity unit."
25,4,Good quality product,Ok good👌👌👌
26,5,Terrific,Very good productAnd the packaging is too good I am satisfied with this product
27,4,Delightful,"Good product, I bought it almost 5000 cheaper than offline, but the installation cost has to be born by us."
28,4,Worth the money,Superb cooling ...the best part of ac is remote has very big screen and feels like a premium remote..worth it product ....
29,4,Good choice,Good
30,5,Excellent,"Super performance, just need 10-15 min to cool my room, silent operation, I choose it after inquiring from market in market it's 40000.00 + installation chargesI got it 36000.00+ installation 2350.00 That convertible mode is so cool . No need to adjust all setting just swap through c1, c2,c3 .... And it adjust as you select. Look great,  remote came is great , installed one day after delivery and service is superb. One big 👍 for this product."
31,5,Awesome,Pros . Nice cooling. Expert Installation. Value for moneyCons. Remote keys required radium to operate in dark room.
32,5,Great product,Timely delivered and installed experience bestAnd colling properly 132 sp my room size
33,5,Simply awesome,Value for money.. nyc cooling for my room on the top floor takes 15 min approx. In turbo mode. Same day delivery and installation makes me very happy... Thanks Flipkart and Jeeves installation services....thank you again
34,5,Wonderful,Nice product for insulation is costly
35,5,Great product,Very nice
36,5,Great product,Very good ac in 1.5 ton 10min room cooling ok 23e
37,5,Perfect product!,Good Fast Cooling
38,5,Wonderful,Working good
39,5,Highly recommended,The product is so cool. The value of money for this product is perfect. And the service godrej is so fast and perfect.
40,5,Brilliant,"Good Ac Cooling good, let see in extreme hot and noise level little high but it is adjustable, all other things the best. Operate with solar invertor smoothly"
41,3,Just okay,Cooling is very slow and very high noise from indoor unit even fan in minimum speed.
42,5,Highly recommended,Good Product
43,5,Brilliant,Excellent Product Loved it. But Godrej Should improve their installation and Maintenance service
44,5,Super!,"Everything is OK. Packaging was good.Cooling is normal But during running, fan makes little more noise as compared to other ac. That runs without noise"
45,4,Good quality product,Product is good but remote design is such that it's vulnerable to breaking. You need to take utmost care with remote
