,Rating,Review Title,Review Body
0,5,Excellent,Good👍
1,5,Wonderful,Very good HD picture quality  of this TV and timely delivery and installation is very systematic process. Thanks for Flipkart & Samsung team related this item.
2,5,Great product,Nice TV in this price
3,5,Highly recommended,Absolutely value for money.
4,5,Terrific purchase,Good quality at this price. Picture quality is very good. Sound quality is also very good.
5,5,Best in the market!,"I m using this tv for the past 10 days..I found that the following Image quality is good,Sound quality is good,Connectivity is good, Overall the product is good to use...Samsung is better than Mi, Redmi and Vu TVs Go for it...."
6,5,Excellent,Nice product
7,5,Super!,Good product from samsung
8,4,Value-for-money,"Value for money.. Pros: Picture quality and different picture modes.Sound quality is beyond expectations.Have all the necessary apps and you can also download them.Smooth interface, not too much lag.Cons:Casting: sometimes picture/video doesn't show while casting.Thick besels in 2020.Overall I would say it's a fantastic product from Samsung. Happy that I didn't buy the cheap Chinese alternatives. Go for it if 32 inch hd ready smart tv is your choice. Loved the product..."
9,5,Perfect product!,Excellent Quality! Excellent Services!
10,5,Worth every penny,Satisfied. You can totally go for it.
11,5,Terrific purchase,Most valuable and Worth Tv 1.video - superb2.sound - Amplifier sound superb
12,5,Brilliant,Good Products
13,5,Best in the market!,Nice picture quality sound quality nice screen cast good 👍😊 must buy
14,5,Wonderful,"Nice tv within the budget. Sound quality is good, for picture quality I had to attach hdmi cable from set top box to tv. After that quality is pretty good.This tv did not come with a stand so I had only one option with the wall mount which I didn't like. Apart from that overall experience is good."
15,5,Perfect product!,Awesome 👍
16,5,Terrific purchase,Good picture and sound quality. Good connectivity.
17,5,Must buy!,I also review after use 3 month. Such a all is best build quality and performance are great sound is very nice picture quality ousom in this price range. samsung brand is my favorite 😍 I also use samsung smart phone from 3 years...so led is looking beautiful and look like a legendary in Off mode 😍... no any doubt please give for it....✌🤗
18,5,Just wow!,osm
19,4,Good choice,"Awesome tv in this price range.please note no Bluetooth and table stand .in case u want table stand then ask installation guy for it. U will get either stand or wall mount.Picture quality is great , sound is also good . Samsung TV plus is good addition."
20,5,Just wow!,Great picture quality overall awesome tvSamsung best
21,5,Brilliant,Very Good Picture Quality with a decent sound system. You can surely go for this product in this price range. Good delivery by Flipkart.
22,5,Awesome,Picture and sound quility Super. Awesome Samsung. ExpirenceIs Amazing. Thankyou Flipkart.
23,4,Pretty good,When u receive it first thing u do.. just update the tv software.. Change the Sound preferences to amplify..For good picture quality u have to subscribe first HD channels on ur dish..or HD files input required..Normal tv channels burst on screen ..Wireless connectivity is awesome..Power consumption is a bit high as it's rated 2/5.
24,5,Great product,Awesome ...no one comparison to this one..I am totally impressed...thanku.samsung..  to make.. this type of television... Nice .. buy...it. don't think... About  to purchase to... Samsung... Nice... I will provide ..5 out 5....
25,5,Fabulous!,Nice product from Samsung this my 2nd led tv it's awesome
26,5,Mind-blowing purchase,"I was in hurry to buy and I don't find any Bette deal like this. Samsung has trusted customer value so, I go for it. Actually there are so many options but price difference of 1k to 2k I don't want to take chance for chinese brand. So I opted for this and satisfied. My kid love it and it's compact size fits in my bedroom easily."
27,5,Mind-blowing purchase,I am using this tv from 6 months....picture quality and sound quality is awsm...screen mirrior work perfectly....I use screen mirrior for watching movie and listining music...very nice sound quality...I love this tv
28,5,Brilliant,I am satisfied..Picture quality is awesome 😻😎Sound quality is good 🙂Installation work very fastFlipkart service very good 🙂👍Thank u Flipkart 👏
29,4,Delightful,Very good 👍 tv
30,4,Delightful,"overall is good compare to price, pictures quality is good but not hd intertnet options are also good it affordable and good"
31,5,Brilliant,Nice one at this price good Samsung 🙏🙏🙏🙏My first Samsung led tv 📺 Befor I always use lg but this time Samsung I’m happy with Samsung led tv great job by Samsung and the Flipkart Thank you 🙏 Flipkart to deliver in this lockdown also little bit late but great work by Flipkart Good luck 😉
32,4,Value-for-money,Nice smart tv for samsung with this price and installation also very fast within 24 hour's. Thnk u😊😊
33,4,Worth the money,"Go for it Nice 32 inch tv by our old trusted brand SamsungSamsung make TV's from CRT edition to now QLEDAnd then Samsung service any where by their experts was goodOn last I want to say if any one want to buy tv remember this points:*Go for a trusted brand who gave good after sale service  because this was a tv not a mobile which we donot change after 2 or 3 years.*Check ratings from inside like picture, sound, connectivity.*Check online reviews ,video etc"
34,5,Must buy!,Good
