,Rating,Review Title,Review Body
0,5,Terrific,Nice phone with great camera. My 1st iPhone and I m loving it
1,5,Terrific purchase,Camera is really good and battery performance also too good. Now apple has inbuilt photo edit options which is really nice to make your photos much better one.
2,5,Brilliant,"SUPERBGo for it guys without hesitation, great in hand feel ,, superb camera , awesome battery backup , Starlight Colour looks premium, 6.7 inch crisp display, Camera 5/5 performance 5/5 Very happy to have apple 14 plus,Thanks flipcart for genuine product delivered on time"
3,5,Brilliant,I love the pictures and the night mode was awesome.... Mind-blowing product..
4,5,Brilliant,Super phone . camera is super😍
5,5,Fabulous!,Great PerformanceCamera better than iPhone 13Battery backup also goodIphone 14 plus is just awesome.
6,5,Perfect product!,"Its good phone, value for the money."
7,5,Terrific,camera quality is superb. Battery is also decent. Overall experience is good.
8,5,Highly recommended,Good quality and sarvice amezing phone
9,5,Simply awesome,Just wow I cannot express my feelings ❤️😍
10,5,Best in the market!,Switched from andro to i phone... 😅.  Phone color is not that too much dark purple but looks good. In love with big screen.😍😍😍😍 .  I bought a feeling not a phone.
11,5,Awesome,Amazing ☺️ thank you flipkart
12,5,Brilliant,I like it very much 🤩🤩🤩🤩🤩
13,4,Wonderful,Awesome camera quality
14,5,Best in the market!,The picture quality is good I purchased this i14+ for camera uses
15,5,Classy product,Best quality and battery backup is too good
16,5,Terrific purchase,Noice😍 overall but Lil bit Miss 120hz although received in good condition
17,5,Wonderful,I think the iPhone 14 Plus is the king of Battery Life.  iPhone 14 Plus Camera is also very good. All rounder iPhone in every department..
18,5,Classy product,Excellent iPhone 14 plus❤️👌
19,5,Terrific purchase,This is a power packed product considering the price. It comes with 33% more battery and 0.7 inches larger display than the base model. Camera is superb in terms of video recording(cinematic mode and normal mode of 4K format). It feels like iphone 14 pro max in hands from the front. A revolutionary product.
20,5,Excellent,Phone is beautiful
21,4,Pretty good,Super
22,5,Excellent,"Superb.... must purchase ! first time switched from android but not feel such an issue working fine as all options avilable here ,Camera is best and Battary is huge."
23,5,Simply awesome,Value for money
24,5,Fabulous!,Amazing Product.
25,5,Highly recommended,"Great Phone at this price range, 60hz refresh rate feels smooth, great camera,big screen, good battery backup and superb for gaming. What else can anyone ask for. Highly Recommended 😍."
26,5,Perfect product!,The mobile is lighter than the iphone 13. The big screen looks good and display is crunch. I charged the mobile 100% and still 30% of battery life is left after moderate use of 1 n half day.I ordered blue colour and its look very subtle and cool. Just loved it.
27,5,Terrific purchase,Superb
28,5,Just wow!,Ossm product delivery and costomer survice is good❤️thank you Flipkart before I thought thet the product I 'll get  original or not and return policy is also changed on Flipkart but now I get original product and don't face any issues with delivery related so I recommend to all of you guys...
29,4,Good choice,Camara 😍Amazing phone Never disappointed youLove iphone 14 plus (blue colour 128gb)With the blue colour the device was lit 😍
30,5,Fabulous!,"I've been using the iPhone for seven months now, and I want to share my thoughts, especially if you're thinking about switching from Android to iOS.First off, I really like this phone. It performs better than any Android phone I've had. But there's a learning curve, especially if you're used to Android, because there's no dedicated back button.In my opinion, this iPhone is best for people who use their phone for work and don't play a lot of games. It has some nice features, but it doesn't..."
31,5,Best in the market!,Best mobile ..Battery performance also good
32,5,Fabulous!,Very good product
33,5,Classy product,Writing this review after using for 2 days.Camera 5/5 - Slightly better than iPhone 13Display 5/5 - Huge n smooth display🤩 Looks like iPhone 13 pro max from frontBattery 4/5Performance 5/5Overall loved the phone. It's totally worth it🤍
34,5,Awesome,Very good
35,5,Terrific,Design is awesome.
36,5,Just wow!,"JUST WOW , BATTERY 🔋 ISS BEST"
37,5,Awesome,Great
38,5,Terrific purchase,Simply awesome product. Sound quality is very good .
39,5,Mind-blowing purchase,"Simply awesome!Iphone 13 was already good enough, but 14 offers even more improvement in every way. biggest noticeable thing is the display, it's crisp and smooth and colours are vivid.And think everyone knows about quality of photos from iPhones!, Iphone 14 offerd best ever camera photo quality yet on iphones.very happy with the purchase!"
40,5,Must buy!,Best ever I phone in it's battery performance and big display.
41,5,Must buy!,"Thank you Flipkart, for excellent service. I received it sooner than i Expected. Open box policy before accepting the product is excellent. I received a genuine Apple product."
42,5,Worth every penny,Everything perfect with this smartphone
43,5,Wonderful,Camera quality is awesome .Good and worthy phone.Display is 6.7 inch and battery backup is very good easily comes for 2 days without charging.60 hz refresh rate it doesn't affect much   .
44,5,Worth the money,Superb! Loved it😍
45,5,Fabulous!,"Good product with good battery backup, overall good quality"
46,5,Great product,Wow 😍..... Its amazing 👌👍
47,5,Best in the market!,Awesome phone battery back up is very excellent.
48,5,Great product,Camera is awesome performance is superb Battery is fabulous Look is being Overall itself hot love it
49,5,Fabulous!,My first iPhone i am so excited and display is awesome. everything is too good thanks Flipkcart
50,5,Great product,"Excellent look, Superb Camera, Amazing battery backup"
51,5,Wonderful,Camera is better than android but not as dslr.you can buy this product for better image quality and for look cool.overall good product
52,5,Best in the market!,Best phone
53,5,Perfect product!,Feels amazing to use it switching from android to ios a totally new interface but the processor is top notch battery is long lasting display is amazing and sound too. Camera of the phone is just next level with the clarity and specially the videography is cinematic mode is just mind blowing. Really impressed with iphone 14 plus
54,5,Excellent,"Best iPhone yet.Coming from regular 13 (6.1 inches), I noticed some significant upgrade. It took me 10 days to fully get used to this new size which is not heavy. And now this plus feels so normal & actually perfect size for me 😄. For those wanting to try new stuff with iPhone, just get this size and its weight easily compensates for its large size (if that ever becomes an issue )Display : More vibrant with better Dynamic range than iPhone 13 (noticed this very quickly),ProMotion (I tried ..."
55,5,Worth every penny,"Amazing purchase from Flipkart! Fresh iPhone 14 plus. Excellent and genuine product. Worth every penny. I recommend you folks to buy lens protector and screen guard sold separately. As we know before, we have to buy Apple Charger separately 😉"
