,Rating,Review Title,Review Body
0,4,Worth the money,"Value for money but with some compromisePros : Price, Sharpness.Cons: Screen bleeding."
1,5,Terrific purchase,Very Good TV In This Price I Bought It For 38k In Big Billion Sale On Bajaj Finserv Very Good Sound And Picture Quality For 65 Inch Go For It Amazing Also Made In India !!!
2,5,Awesome,Awesome 😎
3,3,Does the job,First of all i get my delivery but the product was broken but they will replace it and i got a new one that was nice and the clarity was great
4,3,"Average picture, good sound but does not meet expectation","Ordered the TV on 09th Feb and the TV got delivered on 10th feb and the installation was done by the service person on 10th Feb itself.I can quote excellent as far as speed of delivery and installation is concerned.Coming to picture quality.....Very very average picture quality. It was inferior to my previous non-4K Kodak TV. Secondly there is no option to stretch video to fit the screen, which was available in my previous TV. I will rate 2 out of 5 as far as picture quality is concerned..."
5,5,Mind-blowing purchase,Tv looking good. Clear picture and sound. But wall mount screws not avilable for this new model. So installation Technician  set on the table only.
6,5,Fabulous!,"Very excellent product. Lowest possible pricing for a 55inch QLED TV available online or shops.Best value proposition and having all the features as per latest technology.Excellent picture and sound quality with Dolby Vision and Atmos technology.Next day delivery and installation. Thanks to Flipkart for this wonderful piece.If you are looking for a premium TV at the very best price, then go for it without a secondary thought"
7,4,Nice product,Excellent tv value of money
8,5,Worth every penny,Excellent
9,5,Worth every penny,65inch super
10,5,Brilliant,Wonderful Quality Amazing Picture
11,5,Good choice,Value for money .i brought this 65 Inches tv in big billion days iam satisfied TV is good
12,5,Brilliant,"Too good.Nice quality,nice Dolby audio. Satisfied with the amount given."
13,4,Very Good,Very nice product and good picture quality👍👍
14,5,Wonderful,Best
15,4,Pretty good,Super quality with sound....
16,4,Nice product,Good tv baht 2 star reting
17,5,Simply awesome,Good Product
18,5,Just wow!,"Bought 65 inch- 10 days of watching experience: I am very much satisfied with this product and quality of pictures specially in this price having HDR and Dolby vision with QLED panel unbelievable deal, also having Motorola as brand I am very happy, still hopping after sales support will be helpful whenever required from Motorola side."
19,4,Delightful,"I have purchased this TV for 35k after all card offers and coupon discounts. I have bought 65 inch variant. Working is not that smooth. You can find noticeable lag in the selection page for first 2 to 5 mins when you switch on tv and later the lag is reducing and working smooth with time. Picture quality in selection page is not that great but actual picture quality of the video is great. Yes, its bit heavily saturated. You ll notice reds and greens are more vibrant but its looking good. ..."
20,5,Wonderful,Good tv.. quality screen... Colours also... Value of money ..
21,5,Worth every penny,"Super tv 5,🌞 super picture could sound volume best TV Moto"
22,5,Best in the market!,Didn't find any drawback. The picture quality is good. The sound is good. Value for money..
23,5,Simply awesome,"Excellent by price wise, picture quality oswm, 55 inch uHD my dream, now dream come true. Thanks MotorolaThanks Flipkart"
24,5,Slightly disappointed,Picture Low quality
25,5,Great product,so elegant so beautiful looking like a wow
26,5,Just wow!,"Product is very good, picture quality is nice, sound system is super...👌👌👌"
27,4,Very Good,Value for money..
28,4,Nice product,This TV is very good in this budget
29,5,Wonderful,Value for money 💰💰💰 very nice product
30,4,Wonderful,The overall product is good.
31,4,Delightful,Motorola tv 65 inches good 👍 quality picture
32,4,Really Nice,Good product thank you flipkart fast delivery and installation
33,5,Classy product,"Although its been only 2 days of use so I must say that it is an initial review but the first impressions of this Motorola 55 inch Smart TV are really very encouraging. The sound is a bit on the lower side, meaning we have to keep it on higher level to listen fully but picture quality is awesome. The TV satisfies the expectations remarkably. I am giving a 5 star rating to this product. I hope the experience remains the best throughout and I don't have to update my review later."
34,5,Great product,Veri nice Motorola  EnvisionX 32inch QLED HDThank you flipkart.
35,5,Classy product,good
36,5,Best in the market!,Super the best quality 👍🏻👍🏻👍🏻💯💯💯💯
37,5,Fabulous!,Reviewing after almost 2 months... And the TV is working really well...you can buy it without hesitation.
38,5,Worth every penny,Super tq f
39,5,Simply awesome,Nice product
40,5,Best in the market!,"Very good tv.. Clarity is very good , software and options are wonderful.. Too good for the price"
41,5,Terrific purchase,"Everything is good! Except the automatic picture correction, you can disable that option or else you would find picture glitch colour changing. Sound is not Dolby Atmos. You must buy separate home theatre for this for true 5.1"
42,4,Value-for-money,"I'm completely Satisfied with this TV Sound was really amazingPicture quality and Clarity was awesomeBest Qled 4K tv with HDR 10 Support and Dolby vision and Atmos...Bluetooth, Wifi, Screen mirroring and HDMI connectivity is GoodTv coming with a Google OS with and Android 11 And I'm noticing Some lags is this OS Maybe it'll resolve by the next update hopefully Only that was an issue with this reaming was fantastic...Perfect Budget Qled"
43,5,Super!,Excellent quality
44,5,Terrific,"Initial comments TV working as mentioned by brand. Good picture quality, sound is ok (not bad). This is based on 1 week usage."
45,5,Best in the market!,Very good
46,3,Just okay,"Overall at this price range, this Qled is the best. However sound quality disappoints. Hence the company needs to work on it."
47,3,Nice,Ok
